sample	medaka_folder	software	flank_bp	tissue	tissue_name	tech	core	technology	donor	plate	well	batch	run	center
SMHT001-3AC-XX-M42-D003-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3AC-XX-M42-D003-uwsc.medaka	medaka	250	Dermal Fibroblast	Dermal Fibroblast	D003	XX	ONTUL	SMHT001	3AC	XX	M42	D003	uwsc
SMHT001-3AD-001B4-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3AD-001B4-M42-D001-uwsc.medaka	medaka	250	Skin, Calf	Skin, Calf	D001	001B4	ONT	SMHT001	3AD	001B4	M42	D001	uwsc
SMHT001-3AD-001C1-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3AD-001C1-M42-D001-uwsc.medaka	medaka	250	Skin, Calf	Skin, Calf	D001	001C1	ONT	SMHT001	3AD	001C1	M42	D001	uwsc
SMHT001-3AF-001B1-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3AF-001B1-M42-D001-uwsc.medaka	medaka	250	Skin, Abdomen	Skin, Abdomen	D001	001B1	ONT	SMHT001	3AF	001B1	M42	D001	uwsc
SMHT001-3AH-001B4-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3AH-001B4-M42-D001-uwsc.medaka	medaka	250	Muscle	Muscle	D001	001B4	ONT	SMHT001	3AH	001B4	M42	D001	uwsc
SMHT001-3AH-001C1-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3AH-001C1-M42-D001-uwsc.medaka	medaka	250	Muscle	Muscle	D001	001C1	ONT	SMHT001	3AH	001C1	M42	D001	uwsc
SMHT001-3AM-001D2-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3AM-001D2-M42-D001-uwsc.medaka	medaka	250	Brain, Cerebellum (Left)	Brain, Cerebellum (Left)	D001	001D2	ONT	SMHT001	3AM	001D2	M42	D001	uwsc
SMHT001-3AO-001B3-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3AO-001B3-M42-D001-uwsc.medaka	medaka	250	Brain, Hippocampus (Right)	Brain, Hippocampus (Right)	D001	001B3	ONT	SMHT001	3AO	001B3	M42	D001	uwsc
SMHT001-3E-001B3-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3E-001B3-M42-D001-uwsc.medaka	medaka	250	Colon, Ascending	Colon, Ascending	D001	001B3	ONT	SMHT001	3E	001B3	M42	D001	uwsc
SMHT001-3M-001B1-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3M-001B1-M42-D001-uwsc.medaka	medaka	250	Adrenal Gland, Right	Adrenal Gland, Right	D001	001B1	ONT	SMHT001	3M	001B1	M42	D001	uwsc
SMHT001-3O-001A1-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3O-001A1-M42-D001-uwsc.medaka	medaka	250	Aorta, Abdominal	Aorta, Abdominal	D001	001A1	ONT	SMHT001	3O	001A1	M42	D001	uwsc
SMHT001-3O-001B1-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3O-001B1-M42-D001-uwsc.medaka	medaka	250	Aorta, Abdominal	Aorta, Abdominal	D001	001B1	ONT	SMHT001	3O	001B1	M42	D001	uwsc
SMHT001-3Q-001B3-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3Q-001B3-M42-D001-uwsc.medaka	medaka	250	Lung	Lung	D001	001B3	ONT	SMHT001	3Q	001B3	M42	D001	uwsc
SMHT001-3Q-001C1-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3Q-001C1-M42-D001-uwsc.medaka	medaka	250	Lung	Lung	D001	001C1	ONT	SMHT001	3Q	001C1	M42	D001	uwsc
SMHT001-3S-001C1-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3S-001C1-M42-D001-uwsc.medaka	medaka	250	Heart, LV	Heart, LV	D001	001C1	ONT	SMHT001	3S	001C1	M42	D001	uwsc
SMHT001-3S-001C2-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3S-001C2-M42-D001-uwsc.medaka	medaka	250	Heart, LV	Heart, LV	D001	001C2	ONT	SMHT001	3S	001C2	M42	D001	uwsc
SMHT001-3U-001B1-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3U-001B1-M42-D001-uwsc.medaka	medaka	250	Testis, Left	Testis, Left	D001	001B1	ONT	SMHT001	3U	001B1	M42	D001	uwsc
SMHT001-3U-001B2-M42-D001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/medaka/SMHT001-3U-001B2-M42-D001-uwsc.medaka	medaka	250	Testis, Left	Testis, Left	D001	001B2	ONT	SMHT001	3U	001B2	M42	D001	uwsc
SMHT001-3A-XX-M42-B001-broad	/stornext/snfs130/fritz/Yilei/SMaHT/tr/trgt/SMHT001-3A-XX-M42-B001-broad	trgt	50	Blood, Whole	Blood, Whole	B001	XX	PacBio	SMHT001	3A	XX	M42	B001	broad
SMHT001-3AC-XX-M42-B001-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/trgt/SMHT001-3AC-XX-M42-B001-uwsc	trgt	50	Dermal Fibroblast	Dermal Fibroblast	B001	XX	PacBio	SMHT001	3AC	XX	M42	B001	uwsc
SMHT001-3AD-001B1-M42-B001-broad	/stornext/snfs130/fritz/Yilei/SMaHT/tr/trgt/SMHT001-3AD-001B1-M42-B001-broad	trgt	50	Skin, Calf	Skin, Calf	B001	001B1	PacBio	SMHT001	3AD	001B1	M42	B001	broad
SMHT001-3AK-001A2-M42-B001-broad	/stornext/snfs130/fritz/Yilei/SMaHT/tr/trgt/SMHT001-3AK-001A2-M42-B001-broad	trgt	50	Brain, Frontal Lobe (Left)	Brain, Frontal Lobe (Left)	B001	001A2	PacBio	SMHT001	3AK	001A2	M42	B001	broad
SMHT001-3AL-001B2-M42-B001-broad	/stornext/snfs130/fritz/Yilei/SMaHT/tr/trgt/SMHT001-3AL-001B2-M42-B001-broad	trgt	50	Brain, Temporal Lobe (Left)	Brain, Temporal Lobe (Left)	B001	001B2	PacBio	SMHT001	3AL	001B2	M42	B001	broad
SMHT001-3AM-002A2-M42-B004-uwsc	/stornext/snfs130/fritz/Yilei/SMaHT/tr/trgt/SMHT001-3AM-002A2-M42-B004-uwsc	trgt	50	Brain, Cerebellum (Left)	Brain, Cerebellum (Left)	B004	002A2	FiberSeq	SMHT001	3AM	002A2	M42	B004	uwsc
